match_id,label,role,minute,gold,cs,xp,kills,deaths,assists,damage_dealt,cc_score,apm,distance_moved,wards_placed,wards_killed
NA1_5342889963,0,UNKNOWN,10,3269,60,3301,1,0,2,1406,173945,1,6716,0,0
NA1_5342889963,0,UNKNOWN,11,3503,66,3557,1,0,2,1406,200673,0,3169,0,0
NA1_5342889963,0,UNKNOWN,12,4030,70,4145,1,0,3,1997,231148,1,4667,0,0
NA1_5342889963,0,UNKNOWN,13,4423,82,4735,1,0,3,1997,252625,0,6573,0,0
NA1_5342889963,0,UNKNOWN,14,4749,90,5143,1,0,3,2172,264617,1,2633,0,0
NA1_5342889963,0,UNKNOWN,15,5051,95,5507,1,0,3,2172,275617,0,7562,0,0
NA1_5342923131,0,UNKNOWN,1,500,0,0,0,0,0,0,0,4,0,0,0
NA1_5342923131,0,UNKNOWN,2,625,5,276,0,0,0,0,0,0,1667,0,0
NA1_5342923131,0,UNKNOWN,3,888,13,798,0,0,0,349,1536,2,644,0,0
NA1_5342923131,0,UNKNOWN,4,1513,22,1621,1,0,0,996,4742,2,1562,0,0
NA1_5342923131,0,UNKNOWN,5,1720,27,2053,1,0,0,1480,15570,6,993,0,0
NA1_5342923131,0,UNKNOWN,6,1966,34,2542,1,0,0,2179,18676,1,744,0,0
NA1_5342923131,0,UNKNOWN,7,2465,38,3260,2,0,0,2834,20947,2,2514,0,0
NA1_5342923131,0,UNKNOWN,8,2765,45,3632,2,0,0,3162,23987,3,2338,0,0
NA1_5342923131,0,UNKNOWN,9,3034,53,4123,2,0,0,3748,27193,1,1777,0,0
NA1_5342923131,0,UNKNOWN,10,3428,65,4791,2,0,0,4672,30566,0,1629,0,0
NA1_5342923131,0,UNKNOWN,11,3712,71,5499,2,1,0,5241,35342,2,2313,0,0
